Year,Long,Lat,Reference,Link,Photo
Crego et al. 2009,-59.09895077,-37.35052316,"Crego RD and Macri I. 2009. Una técnica para la estimación de la densidad y el monitoreo de poblaciones de inambú común (Nothura maculosa) en ambientes de pastizal. El Hornero, 24: 31–35.",https://drive.google.com/file/d/1oIfhg0xh0b1rgUFQRUcxTkBAhLbfAMHN/view,https://res.cloudinary.com/decpournu/image/upload/v1701088451/1_tlkopm.png
Donadio et al. 2012,-69.34654416,-29.06362364,"Donadio E, Ruiz Blanco M, Crego RD, Buskirk SW and Novaro AJ. 2012. Capturing and radio ear-tagging neonatal vicuñas. Wildlife Society Bulletin, 36: 119–123.",https://drive.google.com/file/d/1uJVSvSFSMtmvMCb63viLFyBIwLeW9fhy/view,https://res.cloudinary.com/decpournu/image/upload/v1701088452/2_lxxkto.png
Crego et al. 2014,-68.8584674,-42.78062619,"Crego RD, Didier KA and Nielsen CK. 2014. Modeling meadow distribution for conservation action in arid and semi-arid Patagonia, Argentina. Journal of Arid Environments, 102: 68-75.",https://drive.google.com/file/d/1ZOCRjW8000YUkLSD5oMhtUo13Npc-VI5/view,https://res.cloudinary.com/decpournu/image/upload/v1701088454/4_b4wyph.png
Crego et al. 2014,-68.8584674,-42.78062619,"Crego RD, Nielsen CK and Didier KA. 2014. Climate change and conservation implications for wet meadows in dry Patagonia. Environmental Conservation, 41: 122-131",https://drive.google.com/file/d/1XEOAIKAoRbHWhNJlFEFaNHfbNSUWawEj/view,https://res.cloudinary.com/decpournu/image/upload/v1701088454/3_o18fab.png
Jiménez et al. 2014,-67.65821989,-54.95310904,"Jiménez JE, Crego RD, Soto GE, Román I, Rozzi R and Vergara PM. 2014. Potential impact of the alien American mink (Neovison vison) on Magellanic woodpeckers (Campephilus magallanicus) in Navarino Island, southern Chile. Biological Invasions, 16: 961-966.",https://drive.google.com/file/d/14vdqPGP-Xlpfb2pUbNaYBR-GaA1gdpki/view,https://res.cloudinary.com/decpournu/image/upload/v1701088454/5_vjgxp0.png
Rozzi et al. 2015,-67.65821989,-54.95310904,"Rozzi R, Massardo F, Contador T, Crego RD, Méndez M, Rijal R, Cavieres L and Jiménez JE. 2014. Filosofía ambiental de campo: ecología y ética en las redes LTER-Chile e ILTER. Bosque, 35: 439-447.",https://drive.google.com/file/d/12zCyiLfyZliaLCgecm0ZFPZvGMfe9JAW/view,https://res.cloudinary.com/decpournu/image/upload/v1701088456/6_laq1hx.png
Crego et al. 2016,-69.31109945,-54.91355807,"Crego RD, Jiménez JE and Rozzi, R. 2015. Expansión de la invasión del Visón Norteamericano (Neovison vison) en la Reserva de la Biosfera de Cabo de Hornos, Chile. Anales del Instituto de la Patagonia, 43: 1–6.",https://drive.google.com/file/d/10n-QfkPqZ4MENk_GGQjpDHWrJl6DXc-1/view,https://res.cloudinary.com/decpournu/image/upload/v1701088456/7_dbwvji.png
Carcamo et al. 2016,-67.65821989,-54.95310904,"Cárcamo JR, Contador T, Crego RD, Jordán NI, Schüttler E, Gañán M, Jiménez JE, Rozzi R, Massardo F and Kennedy JH. 2016. Primer registro de Vespula vulgaris (Linnaeus 1758) (Hymenoptera: Vespidae) en la isla Navarino, Chile. Guyana, 80: 133-136.",https://drive.google.com/file/d/12ZW2pZyDonAHORwXlMp27Kb28xJE9_UW/view,https://res.cloudinary.com/decpournu/image/upload/v1701088458/9_w3uhv0.png
Crego et al. 2016,-67.65821989,-54.95310904,"Crego RD, Jiménez JE and Rozzi R. 2016. A synergistic trio of invasive mammals? Facilitative interactions among beavers, muskrats, and mink at the southern end of the Americas. Biological Invasions, 18: 1923-1938.",https://drive.google.com/file/d/1oKKa_Hpal3Q9m5JKJksWxgp4u18aTUnv/view,https://res.cloudinary.com/decpournu/image/upload/v1701088457/8_x9bqpw.png
Castillo et al. 2017,-69.31109945,-54.91355807,"Castillo SP, Crego RD, Jiménez JE and Rozzi R. 2017. Native-predator invasive-prey trophic interactions in Tierra del Fuego: the beginning of biological resistance? Ecology (Scientific Naturalis), 98: 2485-2489. DOI: 10.1002/ecy.1873",https://drive.google.com/file/d/1XurnH-kNtp788Cb50tdup0vYm8Kz_ipb/view,https://res.cloudinary.com/decpournu/image/upload/v1701088458/10_i9dp42.png
